# of Nodes,Processor,Accelerator,# of Accelerators,Model MLC,Scenario,Host Processor Core Count,tokens_per_second
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Offline,48,52395.1
1,Intel(R) Xeon(R) Platinum 8468,NVIDIA H100-SXM-80GB,8,mixtral-8x7b,Server,48,50798.5
1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,4,llama2-70b-99,Offline,32,8858.78
1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,4,llama2-70b-99,Server,32,6927.8
1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,4,llama2-70b-99.9,Offline,32,8858.78
1,INTEL(R) XEON(R) GOLD 6530,NVIDIA H100-NVL-94GB,4,llama2-70b-99.9,Server,32,6927.8
1,INTEL(R) XEON(R) PLATINUM 8592+,N/A,0,gptj-99,Offline,64,254.724
1,INTEL(R) XEON(R) PLATINUM 8592+,N/A,0,gptj-99,Server,64,113.74
2,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,112,41672.4
2,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,112,41091.6
2,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,112,41672.4
2,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,112,41091.6
4,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Offline,112,82749.6
4,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99,Server,112,82273.2
4,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Offline,112,82749.6
4,AMD EPYC 7763 64-Core Processor,NVIDIA H100-SXM-80GB,8,llama2-70b-99.9,Server,112,82273.2
1,AMD EPYC 9454,NVIDIA H200-SXM-141GB,8,gptj-99,Offline,48,19859.2
1,AMD EPYC 9454,NVIDIA H200-SXM-141GB,8,gptj-99,Server,48,19716
1,AMD EPYC 9454,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Offline,48,31917
1,AMD EPYC 9454,NVIDIA H200-SXM-141GB,8,llama2-70b-99,Server,48,30068.5
1,AMD EPYC 9454,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Offline,48,31917
1,AMD EPYC 9454,NVIDIA H200-SXM-141GB,8,llama2-70b-99.9,Server,48,30068.5
