# of Accelerators,# of Nodes,Accelerator,Host Processor Core Count,Model MLC,Processor,Scenario,tokens_per_second
8,1,NVIDIA H200-SXM-141GB,52,gptj-99.9,Intel(R) Xeon(R) Platinum 8470,Offline,20238.4
8,1,NVIDIA H200-SXM-141GB,52,gptj-99.9,Intel(R) Xeon(R) Platinum 8470,Server,20139.0
8,1,NVIDIA H200-SXM-141GB,52,llama2-70b-99,Intel(R) Xeon(R) Platinum 8470,Offline,32124.3
8,1,NVIDIA H200-SXM-141GB,52,llama2-70b-99,Intel(R) Xeon(R) Platinum 8470,Server,29739.88
8,1,NVIDIA H200-SXM-141GB,52,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8470,Offline,32124.3
8,1,NVIDIA H200-SXM-141GB,52,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8470,Server,29739.88
8,1,AMD MI300X-NPS1-SPX-192GB-750W,40,llama2-70b-99,Intel(R) Xeon(R) Platinum 8460Y+,Offline,22677.6
8,1,AMD MI300X-NPS1-SPX-192GB-750W,40,llama2-70b-99,Intel(R) Xeon(R) Platinum 8460Y+,Server,19886.1
8,1,AMD MI300X-NPS1-SPX-192GB-750W,40,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8460Y+,Offline,22677.6
8,1,AMD MI300X-NPS1-SPX-192GB-750W,40,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8460Y+,Server,19886.1
8,1,NVIDIA L40S,32,gptj-99,Intel(R) Xeon(R) Gold 6454S,Offline,6911.78
8,1,NVIDIA L40S,32,gptj-99,Intel(R) Xeon(R) Gold 6454S,Server,6903.45
8,1,NVIDIA L40S,32,gptj-99.9,Intel(R) Xeon(R) Gold 6454S,Offline,6911.78
8,1,NVIDIA L40S,32,gptj-99.9,Intel(R) Xeon(R) Gold 6454S,Server,6903.45
8,1,NVIDIA L40S,32,llama2-70b-99,Intel(R) Xeon(R) Gold 6454S,Offline,3717.74
8,1,NVIDIA L40S,32,llama2-70b-99,Intel(R) Xeon(R) Gold 6454S,Server,3218.55
8,1,NVIDIA L40S,32,llama2-70b-99.9,Intel(R) Xeon(R) Gold 6454S,Offline,3717.74
8,1,NVIDIA L40S,32,llama2-70b-99.9,Intel(R) Xeon(R) Gold 6454S,Server,3218.55
4,1,NVIDIA H100-SXM-80GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8468,Offline,9960.74
4,1,NVIDIA H100-SXM-80GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8468,Server,9602.79
4,1,NVIDIA H100-SXM-80GB,48,gptj-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,9960.74
4,1,NVIDIA H100-SXM-80GB,48,gptj-99.9,Intel(R) Xeon(R) Platinum 8468,Server,9602.79
4,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Offline,10133.3
4,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Server,9493.99
4,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,10133.3
4,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Server,9493.99
4,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Offline,26641.6
4,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Server,25358.5
8,1,NVIDIA H200-SXM-141GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480+,Offline,20041.3
8,1,NVIDIA H200-SXM-141GB,56,gptj-99,Intel(R) Xeon(R) Platinum 8480+,Server,19250.4
8,1,NVIDIA H200-SXM-141GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480+,Offline,20041.3
8,1,NVIDIA H200-SXM-141GB,56,gptj-99.9,Intel(R) Xeon(R) Platinum 8480+,Server,19250.4
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480+,Offline,31263.8
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8480+,Server,29715.28
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480+,Offline,31263.8
8,1,NVIDIA H200-SXM-141GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8480+,Server,29715.28
8,1,NVIDIA H200-SXM-141GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8480+,Offline,59334.8
8,1,NVIDIA H200-SXM-141GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8480+,Server,57174.1
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8481C,Offline,24133.7
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99,Intel(R) Xeon(R) Platinum 8481C,Server,21588.35
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8481C,Offline,24133.7
8,1,NVIDIA H100-SXM-80GB,56,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8481C,Server,21588.35
8,1,NVIDIA H100-SXM-80GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8481C,Offline,52524.4
8,1,NVIDIA H100-SXM-80GB,56,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8481C,Server,50798.8
0,1,,64,gptj-99,INTEL(R) XEON(R) PLATINUM 8592+,Offline,251.298
0,1,,64,gptj-99,INTEL(R) XEON(R) PLATINUM 8592+,Server,113.735
8,1,NVIDIA H100-SXM-80GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8468,Offline,19751.9
8,1,NVIDIA H100-SXM-80GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8468,Server,19502.6
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Offline,24528.3
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8468,Server,23132.81
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Offline,24424.7
8,1,NVIDIA H100-SXM-80GB,48,llama2-70b-99.9,Intel(R) Xeon(R) Platinum 8468,Server,23144.02
8,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Offline,52395.1
8,1,NVIDIA H100-SXM-80GB,48,mixtral-8x7b,Intel(R) Xeon(R) Platinum 8468,Server,50798.5
4,1,NVIDIA H100-NVL-94GB,32,llama2-70b-99,INTEL(R) XEON(R) GOLD 6530,Offline,8858.78
4,1,NVIDIA H100-NVL-94GB,32,llama2-70b-99,INTEL(R) XEON(R) GOLD 6530,Server,6927.8
4,1,NVIDIA H100-NVL-94GB,32,llama2-70b-99.9,INTEL(R) XEON(R) GOLD 6530,Offline,8858.78
4,1,NVIDIA H100-NVL-94GB,32,llama2-70b-99.9,INTEL(R) XEON(R) GOLD 6530,Server,6927.8
0,1,,64,gptj-99,INTEL(R) XEON(R) PLATINUM 8592+,Offline,254.724
0,1,,64,gptj-99,INTEL(R) XEON(R) PLATINUM 8592+,Server,113.74
8,2,NVIDIA H100-SXM-80GB,112,llama2-70b-99,AMD EPYC 7763 64-Core Processor,Offline,41672.4
8,2,NVIDIA H100-SXM-80GB,112,llama2-70b-99,AMD EPYC 7763 64-Core Processor,Server,41091.6
8,2,NVIDIA H100-SXM-80GB,112,llama2-70b-99.9,AMD EPYC 7763 64-Core Processor,Offline,41672.4
8,2,NVIDIA H100-SXM-80GB,112,llama2-70b-99.9,AMD EPYC 7763 64-Core Processor,Server,41091.6
8,4,NVIDIA H100-SXM-80GB,112,llama2-70b-99,AMD EPYC 7763 64-Core Processor,Offline,82749.6
8,4,NVIDIA H100-SXM-80GB,112,llama2-70b-99,AMD EPYC 7763 64-Core Processor,Server,82273.2
8,4,NVIDIA H100-SXM-80GB,112,llama2-70b-99.9,AMD EPYC 7763 64-Core Processor,Offline,82749.6
8,4,NVIDIA H100-SXM-80GB,112,llama2-70b-99.9,AMD EPYC 7763 64-Core Processor,Server,82273.2
8,1,NVIDIA H200-SXM-141GB,48,gptj-99,AMD EPYC 9454,Offline,19859.2
8,1,NVIDIA H200-SXM-141GB,48,gptj-99,AMD EPYC 9454,Server,19716.0
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99,AMD EPYC 9454,Offline,31917.0
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99,AMD EPYC 9454,Server,30068.5
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99.9,AMD EPYC 9454,Offline,31917.0
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99.9,AMD EPYC 9454,Server,30068.5
8,1,NVIDIA H200-SXM-141GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8568Y+,Offline,20552.1
8,1,NVIDIA H200-SXM-141GB,48,gptj-99,Intel(R) Xeon(R) Platinum 8568Y+,Server,19785.0
8,1,NVIDIA H200-SXM-141GB,48,gptj-99.9,Intel(R) Xeon(R) Platinum 8568Y+,Offline,20552.1
8,1,NVIDIA H200-SXM-141GB,48,gptj-99.9,Intel(R) Xeon(R) Platinum 8568Y+,Server,19785.0
8,1,NVIDIA H200-SXM-141GB,48,llama2-70b-99,Intel(R) Xeon(R) Platinum 8568Y+,Offline,31973.7
